id,name,type,lat,lon,tags
1001,Central Park,node,40.785091,-73.968285,"park;leisure"
1002,5th Ave Station,node,40.774036,-73.965359,"subway;transport"
1003,Main St Cafe,way,40.720901,-74.000123,"amenity=cafe;outdoor_seating=yes"
1004,Riverside Path,way,40.799122,-73.977654,"highway=footway;surface=asphalt"
1005,City Museum,relation,40.779437,-73.963244,"tourism=museum;fee=yes"
1006,Community Garden,node,40.73061,-73.935242,"leisure=garden;access=permissive"
1007,Brooklyn Bridge,way,40.706086,-73.996864,"bridge=yes;highway=primary"
1008,Union Sq Park,node,40.735863,-73.991084,"park;wifi=yes"
1009,Greenway Trail,way,40.748817,-73.985428,"highway=cycleway;lit=yes"
1010,Harbor Ferry,node,40.701728,-74.013454,"ferry;transport"
1011,Library Main,relation,40.753182,-73.982253,"amenity=library;opening_hours=Mo-Sa 09:00-18:00"
1012,Westside Market,way,40.741895,-73.989308,"shop=supermarket;opening_hours=24/7"

